nhgf_id,DA_SQKM,MAXDI_EROM,Dam_Index,TOT_ELEV_MEAN,TOT_ELEV_MAX,TOT_STREAM_SLOPE,TOT_MAXP6190,TOT_MAXWD6190,TOT_MINWD6190,TOT_RH,TOT_AET,TOT_CWD,TOT_BFI,TOT_CONTACT,TOT_IEOF,TOT_RECHG,TOT_SATOF,TOT_TWI,TOT_EWT,TOT_RF7100,TOT_MIRAD_2012,TOT_FRESHWATER_WD,TOT_STREAMRIVER,TOT_ARTIFICIAL,TOT_CONNECTOR,TOT_STRM_DENS,TOT_TOTAL_ROAD_DENS,TOT_HGA,TOT_HGB,TOT_HGC,TOT_HGD,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,TOT_KFACT,TOT_KFACT_UP,TOT_NO10AVE,TOT_NO200AVE,TOT_OM,TOT_ROCKDEP,TOT_BDAVE,TOT_WTDEP,TOT_SRL25AG,TOT_NLCD19_31,TOT_NLCD19_41,TOT_NLCD19_43,TOT_NLCD19_71,TOT_NLCD19_81,TOT_NLCD19_FOREST,TOT_NLCD19_WETLAND
45724,130.21,0,0,1535.18,2058.55,0.03686,46.91,5.48,1,44.13,385.1,1.67,21.52,275.37,0,4.36,0,10.6,-47.82,21.51,0,1.61,95.62,0,0.28,1.01,0.38,0,11.85,29.04,56.67,39.59,26.14,34.28,0.36,0.11,47.63,31.21,0.47,16.42,1.25,6,0,0,0.01,0,0,0,22.61,0
45725,173.17,0,0,1760.75,2148.17,0.047971,50.73,6.45,1.65,49.75,491.62,1.69,52.82,261.83,19.93,11.11,0,10.3,-50.08,22.1,0,1.61,100,0,0,0.61,0.26,0,2.04,63.65,35.11,37.76,39.14,23.09,0.29,0.13,60.65,46.64,0.66,39,1.2,6,0,2.91,0,0,0.01,0,72.91,0
45726,419.06,0,0,1574.04,2149.5,0.054212,46.21,6.07,1.33,48.9,470.88,1.67,44.71,227.59,16.02,9.3,0,10.24,-66.35,20.6,0,1.61,99.98,0,0.02,0.68,0.16,0,4.73,42.79,52.86,39.47,37.77,22.78,0.28,0.11,38.08,29.39,0.71,40.64,1.22,6,0,7.65,0,0,0.07,0,45.25,0.01
45727,666.69,0,0,1456.42,2025.97,0.020396,47.1,5.98,1.2,47.5,457.69,1.67,23.63,361.45,1.15,4.74,0,10.84,-47.04,20.13,0,1.61,99.97,0.03,0,0.9,0.42,0.95,4.41,18.74,75.84,40.22,25.81,33.98,0.37,0.09,43.56,28.81,1.14,30.67,1.33,6,0,1.98,0,0,0.36,0,24.81,0.04
45728,496.29,0,0,1471.97,2025.97,0.018982,47.63,6.02,1.26,47.51,453.39,1.67,24.07,415.32,1.26,4.77,0,11.02,-39.64,20.12,0,1.61,99.97,0.03,0,0.9,0.46,1.28,4.15,18.2,76.31,40.69,25.65,33.68,0.36,0.1,45.87,30.47,1.08,31.19,1.33,6,0,1.27,0,0,0.26,0,26.89,0.01
45729,102.4,0,0,1551.85,2005.28,0.017526,49.13,6.01,1,46.53,488.06,1.67,20.62,190.87,1,4.12,0,10.83,-34.78,20.33,0,1.61,100,0,0,0.97,0.68,0,0.46,33.11,66.48,40.67,29.83,29.51,0.38,0.05,46.65,32.88,1.53,29.19,1.32,6,0,0.18,0,0,0.01,0,56.53,0.01
45730,364651.2,1423.37,0.57,2085.08,4359.49,0.015265,48.94,7.92,3.53,52.32,223.65,1.68,54.63,221.41,2.41,50.78,0.27,11.7,-50.97,17.8,1.34,7.2,93.86,2.67,0.2,0.67,0.91,7.33,36.65,17.1,39.8,36.6,20.88,42.52,0.31,0.24,76.9,44.03,0.55,41.73,1.38,5.92,14.56,2.53,5.1,0.64,6.39,0.83,26.55,1.08
45731,422.23,0,0,1567.63,2149.5,0.055257,46.05,6.06,1.32,48.87,476.18,1.67,44.59,227.59,16.02,9.28,0,10.26,-66.54,20.56,0,1.61,99.97,0.01,0.02,0.69,0.15,0,4.77,42.47,53.14,39.47,37.77,22.78,0.28,0.11,37.8,29.17,0.71,40.64,1.22,6,0,7.73,0,0,0.07,0,44.91,0.01
45732,363661.9,1424.93,0.57,2086.84,4359.49,0.015159,48.96,7.93,3.54,52.33,222.9,1.67,54.68,221.33,2.4,50.9,0.27,11.71,-50.9,17.8,1.35,7.21,93.85,2.67,0.2,0.67,0.91,7.35,36.74,17.07,39.73,36.59,20.87,42.54,0.31,0.24,77.02,44.09,0.55,41.74,1.38,5.92,14.56,2.52,5.12,0.64,6.41,0.83,26.56,1.09
45733,689.65,0,0,1446.6,2025.97,0.021604,46.69,5.96,1.19,47.46,461.52,1.67,23.64,361.45,1.15,4.75,0,10.8,-48.91,20.03,0,1.61,99.97,0.03,0,0.9,0.4,0.92,4.45,18.41,76.14,40.16,25.73,34.12,0.37,0.09,42.87,28.29,1.14,30.67,1.33,6,0,2.17,0,0,0.39,0,23.98,0.04
45734,362932.7,1426.14,0.57,2088.15,4359.49,0.015142,48.96,7.93,3.55,52.34,222.41,1.67,54.74,221.15,2.4,51,0.27,11.71,-50.9,17.79,1.35,7.22,93.83,2.68,0.21,0.67,0.91,7.36,36.8,17.07,39.65,36.59,20.86,42.56,0.31,0.24,77.09,44.12,0.54,41.76,1.38,5.92,14.56,2.52,5.13,0.64,6.42,0.83,26.56,1.09
45735,5959.09,14.07,0,1848.52,3169.07,0.010381,57.77,8.46,2.02,48.4,193.41,1.69,44.09,1557.7,8.07,11.47,0.52,12.31,-22.33,34.8,0,0.4,99.52,0.34,0.14,0.61,0.94,0,10.38,15.28,74.57,37.16,27.42,35.42,0.41,0.18,60.77,40.32,0.75,41.91,1.4,6,0,1.5,0,0,7.68,0,19.4,0.03
45737,210.78,0,0,1720.85,1836.97,0.014252,50.8,7.03,2,48.61,156.11,1.72,65.85,205.35,1,13.73,0,12.64,-18.76,24.48,0,0.4,99.73,0.23,0.03,0.71,0.65,0,1.19,12.2,86.57,37.2,22.39,40.41,0.47,0.14,45.45,27.08,0.79,24.13,1.31,6,0,2.87,0,0,5.45,0,0,0.01
45738,5426.58,14.95,0,1865.87,3169.07,0.008784,58.68,8.62,2.03,48.39,189.53,1.72,41.77,1639.54,8.51,11.21,0.57,12.34,-21.27,35.93,0,0.4,99.48,0.37,0.15,0.6,0.98,0,11.18,15.68,73.37,37.16,27.83,35.02,0.41,0.18,62.78,41.93,0.75,42.66,1.4,6,0,0.89,0,0,8.13,0,21.3,0.01
45739,179.8,0,0,1758.07,1836.97,0.008844,52.01,7.1,2,48.59,123.16,1.72,65.38,231.46,1,13.65,0,12.96,-12.64,24.96,0,0.4,99.68,0.28,0.04,0.67,0.67,0,0.49,14.3,85.12,37.13,22.21,40.66,0.47,0.14,49.06,29.11,0.79,24.13,1.31,6,0,0.36,0,0,6.37,0,0,0
45740,83.98,0,0,1904.63,2019.02,0.003777,52.59,7.85,2,54.35,239.34,1.75,57.29,169.74,3.54,12.07,0.83,12.03,-15.35,28.59,0,0.4,100,0,0,0.73,0.81,0,0.13,15.01,84.79,41.83,26.33,31.83,0.38,0.18,70.96,48.46,0.56,16.05,1.4,6,0,0,0,0,0.04,0,31.3,0
45741,844.72,0,0,1889.47,2282.81,0.00632,53.2,7.95,2.17,51.74,222.07,1.75,49.47,498.93,5.32,10.45,0.9,12.2,-13.23,30.36,0,0.4,99.34,0.47,0.18,0.54,0.98,0,21.09,13.46,65.69,39.07,24.54,36.38,0.41,0.18,58.22,37.5,0.55,27.29,1.42,6,0,0.07,0,0,1.6,0,30.61,0
45742,3898.6,18.34,0,1891.42,3169.07,0.004241,61.84,9.01,2,47.44,173.09,1.75,36.2,1962.76,9.49,10.98,0.6,12.56,-19.69,39.34,0,0.4,99.38,0.43,0.19,0.56,1.06,0,10.64,16.53,73.1,36.68,29.22,34.11,0.4,0.19,67.07,45.53,0.8,48.1,1.4,6,0,0.09,0.01,0,10.61,0,21.84,0.01
45744,251.48,0,0,1716.44,1765.82,0.001581,52.34,7.97,2,43.97,54.98,1.75,40.22,3,1,8.5,0.04,13.54,-9.84,25.53,0,0.4,99.93,0,0.07,0.6,0.58,0,0,20,80,36.81,21.5,41.69,0.48,0.16,51.68,30.14,0.47,0,1.49,6,0,0.07,0,0,4.75,0,0,0
45745,208.7,0,0,1718.33,1765.82,0.001275,52.85,8,2,43.8,51.38,1.73,39.61,3,1,8.4,0,13.49,-10,25.74,0,0.4,99.92,0,0.08,0.6,0.54,0,0,20,80,36.81,21.5,41.69,0.48,0.16,51.68,30.14,0.47,0,1.49,6,0,0,0,0,5.41,0,0,0
45746,101.71,0,0,1891.7,2044.9,0.003451,61.27,8,2,43.53,309.65,1.72,48.62,2292.64,8.53,10.41,0,12,-48.05,29.08,0,0.4,100,0,0,0.91,0.63,0,0,60.02,37.47,41.63,28.95,29.46,0.34,0.1,56.97,40.6,0.85,45.53,1.29,6,9.63,0,0,0,0.57,0,34.81,0
45747,293.32,0,0,1790.46,1879.17,0.001902,59.27,7.93,2,43.42,82.44,1.72,49.99,599.63,0.13,10.55,0,13.08,-8.87,28.34,0,0.4,100,0,0,0.7,0.46,0,0,20.09,79.68,36.82,21.52,41.66,0.48,0.16,51.69,30.16,0.85,45.53,1.29,6,9.63,0,0,0,1.98,0,0.1,0
45748,311.38,0,0,1786.47,1879.17,0.001849,59.19,7.93,2,43.34,80.89,1.73,49.19,488,0,10.35,0,13.24,-8.48,28.35,0,0.4,100,0,0,0.71,0.47,0,0,20.08,79.7,36.82,21.52,41.66,0.48,0.16,51.69,30.16,0.85,45.53,1.29,6,9.63,0,0,0,2.14,0,0.1,0
45749,774.77,0,0,1842.34,2094.62,0.003595,60.82,8.06,2,44.02,168.4,1.73,42.98,1721.25,6.09,8.92,0,12.68,-25.9,29.93,0,0.4,99.82,0.13,0.05,0.83,0.51,0,0,38.03,60.93,39.21,27.7,33.1,0.39,0.12,58.66,40.05,0.95,40.74,1.27,6,9.63,0,0,0,4.48,0,15.69,0
